"APPLICATION_ID","ACTIVITY","ADMINISTERING_IC","APPLICATION_TYPE","ARRA_FUNDED","AWARD_NOTICE_DATE","BUDGET_START","BUDGET_END","CFDA_CODE","CORE_PROJECT_NUM","ED_INST_TYPE","FOA_NUMBER","FULL_PROJECT_NUM","FUNDING_ICs","FUNDING_MECHANISM","FY","IC_NAME","NIH_SPENDING_CATS","ORG_CITY","ORG_COUNTRY","ORG_DEPT","ORG_DISTRICT","ORG_DUNS","ORG_FIPS","ORG_IPF_CODE","ORG_NAME","ORG_STATE","ORG_ZIPCODE","PHR","PI_IDS","PI_NAMEs","PROGRAM_OFFICER_NAME","PROJECT_START","PROJECT_END","PROJECT_TERMS","PROJECT_TITLE","SERIAL_NUMBER","STUDY_SECTION","STUDY_SECTION_NAME","SUBPROJECT_ID","SUFFIX","SUPPORT_YEAR","DIRECT_COST_AMT","INDIRECT_COST_AMT","TOTAL_COST","TOTAL_COST_SUB_PROJECT"
"10385500","R44","AG","1","N","09/21/2021","09/30/2021","03/31/2022","866","R44AG076299","","PAS-19-316","1R44AG076299-01","NIA:499197\","SBIR-STTR RPGs","2021","NATIONAL INSTITUTE ON AGING","","SAN RAMON","UNITED STATES","","15","621451520","US","10031086","ARTERY THERAPEUTICS, INC.","CA","945832691","PROJECT NARRATIVE Artery Therapeutics is advancing its ABCA1 stabilizing peptide CS6253 that targets a critical pathway in APOE driven Alzheimer's disease (AD) into an early Phase 1 clinical trial. Artery's therapy has promising target engagement markers, favorable safety profile, and pharmacodynamics effects on AD biomarker expression in primate studies. With this proposal, Artery Therapeutics will take its novel AD therapy through a randomized double blind placebo controlled Phase 1 SAD study to evaluate pharmacokinetics, tolerance, safety, and transient biomarker efficacy (no cognition or imaging) in 50-70 y.o. healthy subjects with and without APOE4.","11358763; ","JOHANSSON, JAN ;","RYAN, LAURIE M","09/30/2021","03/31/2022","Adaptor Protein Complex 2; Address; Adverse event; Age; Agonist; Albumins; Alleles; Alzheimer's Disease; Alzheimer's disease therapy; Alzheimer?s disease biomarker; Amyloid beta-42; Amyloid beta-Protein; Amyloid beta-Protein Precursor; Apolipoprotein A-I; Apolipoprotein E; apolipoprotein E-4; Apolipoproteins; Arteries; base; Binding; Biological Markers; Blood; Brain; C-terminal; Cells; Cerebrospinal Fluid; Certification; Chemicals; Chemistry; child bearing; Cholesterol; Clinical; Clinical Trials; Cognition; cohort; Consensus; Creatinine; Critical Pathways; Data; Dementia; Development; Disease Marker; Documentation; Dose; Double-Blind Method; Drug Kinetics; early phase clinical trial; Female; Functional disorder; Generations; genetic risk factor; genetic variant; healthy volunteer; Hematology; High Density Lipoproteins; Hippocampus (Brain); Hour; Human; Image; improved; Individual; Intravenous; Intravenous Bolus; Laboratories; Lipids; Lipoproteins; lysosomal proteins; male; Manuals; meetings; men; Methods; mild cognitive impairment; Modeling; Monitor; mouse model; Mus; neurofilament; Neurology; new therapeutic target; novel; overtreatment; Participant; Penetration; Peptides; Pharmaceutical Preparations; Pharmacodynamics; Pharmacology; Phase; phase 1 study; Phase I Clinical Trials; phase I trial; Phospholipids; Physical Examination; Placebos; Plasma; pre-clinical; prevent; Primates; programs; Property; Protein Isoforms; Qualifying; Randomized; Reporting; response; Risk; Safety; screening; Serum; Small Business Innovation Research Grant; study population; sulfated glycoprotein 2; System; tau-1; Testing; Therapeutic; Time; Transgenic Mice; Triglycerides; Urinalysis; Urine; Vial device; Woman; ","A randomized double-blind placebo controlled Phase 1 SAD study in male and female healthy volunteers to assess safety, pharmacokinetics, and transient biomarker changes by the ABCA1 agonist CS6253","076299","ZRG1","Special Emphasis Panel ","","","01","","","499197",""
"10260417","K01","HS","5","N","08/24/2021","09/30/2021","09/29/2022","226","K01HS026980","SCHOOLS OF MEDICINE","PA-16-223","5K01HS026980-02","AHRQ:157722\","OTHER RESEARCH-RELATED","2021","AGENCY FOR HEALTHCARE RESEARCH AND QUALITY","","NEW YORK","UNITED STATES","INTERNAL MEDICINE/MEDICINE","12","121911077","US","5998304","NEW YORK UNIVERSITY SCHOOL OF MEDICINE","NY","10016","PROJECT NARRATIVE The overarching goal of this K01 Career Development Award is to foster Dr. Sunita Desai?s transition to independence, as a health economist with expertise in policy design for vulnerable populations and providers of safety net care. The proposed study, which is the first step in Dr. Desai?s transition, will investigate whether the 340B Drug Pricing Program, an expansive policy that directs financial resources to providers of safety net care, has achieved its goal of improving care quality and medication access for vulnerable populations and/or has had unintended spillover effects on drug spending among privately-insured patients. Findings from this work will yield direct policy implications pertaining to the 340B Drug Pricing Program and useful generalizations regarding the design of policies that intend to give health care providers both the resources and incentives to deliver high-quality and accessible health care for the most vulnerable Americans.","10674367; ","DESAI, SUNITA ;","WILLIS, TAMARA","09/30/2020","09/29/2025","","Designing policies to incentivize high-quality health care for vulnerable Americans: Evidence from the 340B Drug Pricing Program","026980","HCRT","Healthcare Research Training  ","","","02","","","157722",""
"10316991","F31","NS","5","N","08/30/2021","09/30/2021","09/29/2022","853","F31NS120783","SCHOOLS OF MEDICINE","PA-19-195","5F31NS120783-02","NINDS:46036\","TRAINING, INDIVIDUAL","2021","NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE","","NEW YORK","UNITED STATES","NEUROSCIENCES","13","621889815","US","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NY","100323725","Temporal lobe epilepsy is a very common neurological disorder, characterized by recurring seizures and affecting up to 1 in 100 people at some point in their lives. The changes to microscopic brain circuits and the clinical signs associated with the disease have both described separately, but how the circuit changes cause the clinical signs is unknown. This project will attempt to bridge this disconnect by recording the activity of these circuits during seizures and other epilepsy-associated events, and using this data to test a model of how ?miswired? brain circuits enable seizures to occur.","15267917; ","LIAO, ZHENRUI ;","LEENDERS, MIRIAM","09/30/2020","09/29/2023","Address; Adult; adult neurogenesis; Affect; Algorithms; Anatomy; Animals; Apoptosis; base; Behavioral; Brain; Cell Death; Cell Lineage; cell type; Cells; Chronic; Chronic Phase; Clinical; Cognitive deficits; computerized tools; Coupled; Data; dentate gyrus; design; Disease; disease phenotype; Epilepsy; Epileptogenesis; Event; Exhibits; experimental study; Fire - disasters; Focal Seizure; Functional Imaging; Genomics; granule cell; Hippocampal Formation; Hippocampus (Brain); Image; In Vitro; in vivo; in vivo calcium imaging; insight; Interneurons; Intervention; Ipsilateral; Kainic Acid; mathematical model; Microscopic; Modeling; Monitor; mouse model; Mus; nervous system disorder; Neurons; novel; Optics; Pathogenesis; Pathologic; Pathway Analysis; Pathway interactions; Pattern; Phenotype; Play; Population; predictive modeling; Process; recruit; Recurrence; relating to nervous system; Reporter; Reporting; Role; Seizures; Series; Signal Transduction; Stereotyping; Structure; Temporal Lobe; Temporal Lobe Epilepsy; Testing; Theoretical model; Training; Ursidae Family; way finding; Work; ","Dissecting microcircuit alterations in the epileptic dentate gyrus with functional imaging","120783","ZRG1","Special Emphasis Panel ","","","02","46036","","46036",""
"10498505","Y01","DA","","N","","","","","Y01DA160020","","","ADA16002002-2-0-1","NIDA:130000\","INTERAGENCY AGREEMENTS","2021","NATIONAL INSTITUTE ON DRUG ABUSE","","","","","","","","","NATIONAL INSTITUTE ON DRUG ABUSE","","","","; ",",  ;","","","","","FDA Drug Discovery Program","","","","","","","","","130000",""
"10215786","R01","MD","1","N","09/26/2021","09/26/2021","06/30/2022","307","R01MD016236","SCHOOLS OF ARTS AND SCIENCES","PAR-20-164","1R01MD016236-01","NIMHD:757695\","Non-SBIR/STTR RPGs","2021","National Institute on Minority Health and Health Disparities","","LEXINGTON","UNITED STATES","SOCIAL SCIENCES","06","939017877","US","2793601","UNIVERSITY OF KENTUCKY","KY","405260001","PROJECT NARRATIVE We know that rural residents in the Appalachian region of the Southeastern United States have the nation?s highest rates of insufficient sleep (habitual sleep duration ?6 hours), but the reasons for this are unclear. This issue is particularly concerning, as these same rural residents also face substantially higher than average rates of negative health outcomes including heart disease, cancer, diabetes, obesity, depression, and substance use disorders. We will follow a group of Appalachian adults over the course of two years to track their sleep, physical and mental well-being, and health behavior (e.g., substance use, smoking, diet, exercise), in order to better understand the culturally relevant factors that predict difficulties with both sleep and health in this unique and underserved, rural population.","10372293; 14786675 (contact); ","BADOUR, CHRISTAL L.; MOLONEY, MAIREAD  (contact);","DAS, RINA","09/26/2021","06/30/2026","Address; Adult; Age; Alcohols; Anxiety; Appalachian Region; Attitude; Automobile Driving; base; Behavioral; Belief; Biological; Birds; C-reactive protein; Cardiovascular Diseases; Cardiovascular system; Caring; Child Sexual Abuse; Cirrhosis; Cognitive; cognitive task; cohort; Communities; cost; County; Data Collection; Demographic Factors; demographics; design; Diabetes Mellitus; diet and exercise; Disease; Distress; economic impact; Economics; Emotional; ethnic minority population; Ethnic Origin; Eye; Face; Family; Financial Hardship; Glycosylated Hemoglobin; Glycosylated hemoglobin A; Health; Health behavior; health disparity; health disparity populations; health inequalities; Health Status Indicators; Heart Diseases; Heart Rate; holistic approach; Hour; Immunologics; Individual; Individual Differences; innovation; insight; interest; Interview; Kentucky; Knowledge; Lead; Link; longitudinal design; low socioeconomic status; Malignant Neoplasms; Measurement; Measures; Mediating; Memory; Mental Depression; Mental disorders; Metabolic; Methods; Modeling; Morbidity - disease rate; mortality; Neurocognitive Deficit; Obesity; Outcome; Overdose; Participant; Perception; Physical activity; Predictive Factor; Premature Mortality; Process; Productivity; protective factors; Public Health; Race; racial and ethnic; racial minority; Recording of previous events; recruit; Reporting; Research; research study; Risk; Rural; Rural Appalachia; Rural Community; rural dwellers; rural health disparities; Rural Population; rurality; Scientific Advances and Accomplishments; self reliance; Series; sex; Sex Differences; Sleep; Sleep Deprivation; sleep health; Smoking; social; social determinants; social factors; Social support; Societal Factors; Southeastern United States; Stress; Substance abuse problem; substance use; Substance Use Disorder; Suicide; Surveys; System; Task Performances; Testing; Time; Trauma; United States; United States National Institutes of Health; Violence; Well in self; Work; ","Researching Equitable Sleep Time (REST) in Appalachia","016236","MESH","Biobehavioral Mechanisms of Emotion, Stress and Health Study Section ","","","01","500075","257620","757695",""
"10172795","U01","DP","5","N","05/27/2021","09/30/2021","09/29/2022","945","U01DP006369","","RFA-DP-18-001","5U01DP006369-04","NCCDPHP:714121\","Non-SBIR/STTR RPGs","2021","NATIONAL CENTER FOR CHRONIC DISEASE PREV AND HEALTH PROMO","","NEW YORK","UNITED STATES","","12","075255455","US","961601","CROHN'S AND COLITIS FDN OF AMERICA, INC.","NY","10017","The incidence and prevalence of Crohn?s disease and ulcerative colitis in the United States are high, but precise estimates, particularly in minority populations, are lacking. In the proposed research, we will address this research gap by combining multiple data sets that capture the full breadth of the United States population. We will also create a prospective registry of newly diagnosed patients to study disparities in care, the results of which can help to standardize treatment patterns in ways that allow all patients to have the greatest opportunity to achieve a normal quality of life and prevent complications of their disease.","15372630 (contact); 2100132; ","HURTADO-LORENZO, ANDRES  (contact); KAPPELMAN, MICHAEL D;","","09/30/2018","09/29/2023","","Diversity within the Incidence, Prevalence, Treatment and Outcomes of Patients with IBD","006369","ZDP1","Special Emphasis Panel ","","","04","","","714121",""
"10317155","R01","EY","1","N","09/03/2021","09/30/2021","06/30/2022","867","R01EY033190","SCHOOLS OF ARTS AND SCIENCES","PA-20-185","1R01EY033190-01","NEI:547700\","Non-SBIR/STTR RPGs","2021","NATIONAL EYE INSTITUTE","","LOUISVILLE","UNITED STATES","PSYCHOLOGY","03","057588857","US","4679701","UNIVERSITY OF LOUISVILLE","KY","402920001","Project Narrative The ability to judge the locations of various objects from oneself during self-motion in the intermediate distance range (~2-25m) is crucial for successful performance of activities of daily living, such as walking and driving. However, little is known about the mechanisms of visual space perception involved in judging distance, the focus of this project, in the planning and/or execution of self-motion in the natural 3D environment. The theoretical knowledge to be gained from this project will contribute to the scientific literature and provide insights into how eye and neurological defects could impair visual space perception, wayfinding, and mobility.","1965646 (contact); 7844629; ","HE, ZIJIANG  (contact); OOI, TENG LENG ;","WIGGS, CHERI","09/30/2021","06/30/2025","3-Dimensional; Activities of Daily Living; Address; Adopted; Affect; Attention; Automobile Driving; base; Behavioral; behavioral response; Characteristics; Code; Cognitive; cognitive load; Complex; Cues; Defect; Environment; experimental study; Eye; Human; Image; insight; Judgment; Knowledge; Literature; Location; Maps; Measures; Memory; Motion; motor control; Movement; Neurologic; neuromechanism; operation; Outcomes Research; Performance; Positioning Attribute; Poverty; Process; Proprioception; Psychophysics; relating to nervous system; Research; Resources; retinal imaging; Role; Route; Short-Term Memory; Signal Transduction; somatosensory; Space Perception; Surface; System; Testing; Texture; Update; Vision; Visual; visual coding; Visual impairment; visual information; Visual Perception; Visual system structure; Visuospatial; Walking; way finding; ","Visual mechanisms of intermediate distance space perception during self-motion","033190","ZRG1","Special Emphasis Panel ","","","01","427065","120635","547700",""
"10295751","IK2","VA","5","N","09/27/2021","07/01/2021","06/30/2022","999","IK2CX001397","","RFA-CX-17-008","5IK2CX001397-04","","OTHERS","2021","Veterans Affairs","","DURHAM","UNITED STATES","","01","043241082","US","481065","DURHAM VA MEDICAL CENTER","NC","277053875","There is currently a paucity of safe and effective pharmacological agents for the treatment of PTSD, a disorder that impacts large numbers of OEF/OIF/OND Veterans and is frequently accompanied by co-occurring conditions that include depression and TBI. DHEA may be a promising new therapeutic in PTSD, as it demonstrates anti-anxiety effects in rodent models and fear-anxiety circuit regulation in humans. Based on our preliminary data in OEF/OIF/OND Veterans, treatment with DHEA has potential as a safe, effective, well- tolerated, immediately accessible, and inexpensive treatment for PTSD and multiple associated symptom domains.","11085052; ","SZABO, STEVEN ;","","07/01/2018","06/30/2023","Acute; Afghanistan; Aftercare; Amygdaloid structure; Androsterone; Anti-Anxiety Agents; Anxiety; associated symptom; base; Biological Markers; Brain; candidate marker; Clinical; clinical effect; Clinical Trials; Data; dehydroepiandrosterone; depressive symptoms; Development; Diagnosis; dietary supplements; Diffusion; Disease; Dose; Double-Blind Method; dual diagnosis; Emotions; Enrollment; Exhibits; experience; FDA approved; Freedom; Fright; Functional Magnetic Resonance Imaging; Healthcare; Hippocampus (Brain); Human; hypothalamic-pituitary-adrenal axis; Image; imaging biomarker; innovation; Intervention; Iraq; Lead; male; Mass Spectrum Analysis; Measures; Medication Management; Mental Depression; metabolic profile; Myelin; myelination; neuroimaging; neuroimaging marker; Neurons; neurosteroids; novel; novel therapeutics; operation; Oral; Outcome; Paroxetine; personalized medicine; Pharmacological Treatment; Pharmacology; Phase; Pilot Projects; Placebos; Post-Traumatic Stress Disorders; pre-clinical; Prediction of Response to Therapy; Predisposition; primary outcome; Randomized; Randomized Controlled Trials; Recording of previous events; reduce symptoms; Regulation; Research; resilience; response biomarker; Rodent; Rodent Model; Role; secondary outcome; Serology; Sertraline; Serum; Severities; symptom treatment; Symptoms; Techniques; Therapeutic; Time; Translating; Translations; Traumatic Brain Injury; treatment response; Veterans; ","Neurosteroids in PTSD - Biomarkers to Therapeutics","001397","MHBB","Mental Health and Behavioral Science B ","","","04","","","",""
"10442057","R01","DA","3","N","09/20/2021","09/30/2021","04/30/2022","279","R01DA048176","SCHOOLS OF SOCIAL WELFARE/WORK","PA-20-272","3R01DA048176-03S1","NIDA:138559\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE ON DRUG ABUSE","","CHICAGO","UNITED STATES","NONE","01","005421136","US","1413601","UNIVERSITY OF CHICAGO","IL","606372612","PROJECT NARRATIVE The opioid and COVID-19 epidemics have disproportionately handicapped OUD treatment programs in low resource communities in their efforts to reduce disparities in treatment access and engagement. The public health relevance of this administrative supplement is to strengthen the parent grant by using qualitative data to identify strategies to enhance an evidence-based standard of care designed to reduce disparities and improve health equity among women and racial/ethnic minority groups in L.A. County.","8921043; 2075982 (contact); ","GUERRERO, ERICK ; MARSH, JEANNE C (contact);","MULFORD, CARRIE FRIED","07/01/2019","04/30/2023","addiction; Administrative Supplement; African American; base; Caring; Certification; Communities; Competence; Country; County; COVID-19; COVID-19 pandemic; cultural competence; Data; design; differences in access; Disabled Persons; disparity elimination; disparity reduction; Epidemic; ethnic difference; ethnic minority population; evidence base; Evidence based practice; experience; Exploration, Preparation, Implementation, and Sustainment; Face; Fibrinogen; Funding; Gender; gender difference; gender disparity; Health; health equity; health equity promotion; Health Personnel; Health Policy; Health Professional; Health Services; Health Services Accessibility; implementation facilitators; implementation framework; implementation process; improved; Individual; innovation; interest; Interview; Knowledge; Latino; Lead; Leadership; Licensing; Los Angeles; Low income; Medicaid; medication-assisted treatment; minority communities; Minority Groups; mortality; mortality risk; National Institute of Drug Abuse; Opioid; opioid epidemic; opioid overdose; opioid use; opioid use disorder; parent grant; Peer Review; Pharmaceutical Preparations; Phase; Preparation; prescription opioid; programs; Provider; Public Health; public health relevance; Publications; Qualitative Methods; Quality of Care; Race; racial and ethnic; racial minority; Regulation; Reporting; Research; Research Personnel; Resources; response; Role; Sampling; Scientist; Services; social; Social Processes; Social Work; standard of care; substance use; Substance Use Disorder; sustainability framework; symposium; System; theories; Thinking; treatment disparity; treatment program; Trust; underserved community; United States; Woman; Work; ","Gender Disparities in Access and Engagement in Medication-Assisted Treatment for Opioid Use Disorder","048176","","","","S1","03","103763","34796","138559",""
"10485312","P50","CA","3","N","09/27/2021","09/01/2021","08/31/2022","","P50CA244688","","RFA-CA-19-005","3P50CA244688-03S1","NCI:100000\","RESEARCH CENTERS","2021","NATIONAL CANCER INSTITUTE","","Aurora","UNITED STATES","","06","041096314","US","1199905","UNIVERSITY OF COLORADO DENVER","CO","800452571","","1862445; ","GLASGOW, RUSSELL E;","VANDERPOOL, ROBIN CLINE","09/20/2019","08/31/2024","Adherence; Adult; Advisory Committees; Arizona; Budgets; Cancer Center; Cancer Control; cancer prevention; career; certificate program; Certification; Characteristics; Child; Clinical; cohesion; Collaborations; Colorado; Communication; Communication Research; Communities; Competence; contextual factors; cost; Cost Analysis; Costs and Benefits; Data; Development; Educational workshop; Ensure; Environment; Evaluation; Evidence based program; expectation; Expenditure; Funding; Goals; Health; Human Resources; human subject; implementation science; implementation study; Infrastructure; innovation; Institutional Review Boards; interest; Interruption; Intervention; Leadership; lung cancer screening; Measures; meetings; member; Mentors; Methods; Mission; Modeling; Monitor; NCI-Designated Cancer Center; New Mexico; organizational structure; Outcome; Outcomes Research; outreach; Patients; Policies; Population; Population Sciences; Practical, Robust Implementation and Sustainability Model; preference; pressure; primary care setting; Primary Health Care; Program Development; programs; Progress Reports; Provider; Reach, Effectiveness, Adoption, Implementation, and Maintenance; Research; research and development; Research Methodology; Research Personnel; Resources; Rural; rural area; Safety; Science; Series; shared decision making; smoking cessation; Strategic Planning; Structure; success; Surveys; Testing; TimeLine; underserved area; Universities; Utah; ","Pragmatic Implementation Science Approaches to Assess and Enhance Value of Cancer Prevention and Control in Rural Primary Care","244688","ZCA1","Special Emphasis Panel ","6083","S1","03","64309","35691","","100000"
