Albany School of Medicine 	Albany	NY	Albany, NY	MD	Private	3.60	510	9,553	134	
Albert Einstein College of Medicine 	Bronx	NY	Bronx, NY	MD	Private	3.83	516	8,321	183	
Augusta Medical College of Georgia 	Augusta	GA	Augusta, GA	MD	Public	3.79	510	2,986	230	
Baylor College of Medicine 	Houston	TX	Houston, TX	MD	Private	3.89	515	7,587	185	
Boston University School of Medicine 	Boston	MA	Boston, MA	MD	Private	3.81	517	9,196	180	
Brown University Warren Alpert Medical School 	Providence	RI	Providence, RI	MD	Private	3.79	515	10,672	144	
California Northstate University School of Medicine 	Elk Grove	CA	Elk Grove, CA	MD	Private	3.58	513	2,834	90	
Case Western Reserve University School of Medicine 	Cleveland	OH	Cleveland, OH	MD	Private	3.81	517	6,583	216	
Central Michigan University College of Medicine 	Mt Pleasant	MI	Mt Pleasant, MI	MD	Public	3.70	504	4,790	101	
Columbia University College of Physicians and Surgeons 	New York	NY	New York, NY	MD	Private	3.87	519	8,047	151	
Cooper Medical School of Rowan University 	Westville	NJ	Westville, NJ	MD	Public	3.69	507	5,879	88	
Creighton University School of Medicine 	Omaha	NE	Omaha, NE	MD	Private	3.81	510	6,770	157	
Dartmouth College Geisel School of Medicine 	Hanover	NH	Hanover, NH	MD	Private	3.78	515	6,635	92	
Drexel University College of Medicine 	Philadelphia	PA	Philadelphia, PA	MD	Private	3.73	511	11,532	262	
Duke University School of Medicine 	Durham	NC	Durham, NC	MD	Private	3.85	516	7,455	115	
East Carolina University Brody School of Medicine 	Greenville	NC	Greenville, NC	MD	Public	3.70	506	1,020	80	
East Tennessee State Quillen College of Medicine 	Johnson City	TN	Johnson City, TN	MD	Public	3.82	506	2,061	72	
Eastern Virginia School of Medicine 	Norfolk	VA	Norfolk, VA	MD	Public	3.72	512	7,319	151	
Emory University School of Medicine 	Atlanta	GA	Atlanta, GA	MD	Private	3.79	515	5,987	138	
Florida Atlantic University Charles E. Schmidt College of Medicine 	Boca Raton	FL	Boca Raton, FL	MD	Public	3.76	512	4,285	63	
Florida International University Herbert Wertheim College of Medicine 	Miami	FL	Miami, FL	MD	Public	3.71	510	4,791	126	
Florida State University College of Medicine 	Tallahassee	FL	Tallahassee, FL	MD	Public	3.74	505	6,503	120	
Geisinger Commonwealth Medical College 	Scranton	PA	Scranton, PA	MD	Private	3.72	510	6,591	108	
George Washington University School of Medicine 	Washington	D.C.	Washington, D.C.	MD	Private	3.72	511	12,393	179	
Georgetown University School of Medicine 	Washington	D.C.	Washington, D.C.	MD	Private	3.74	512	14,377	196	
Harvard Medical School 	Cambridge	MA	Cambridge, MA	MD	Private	3.92	518	7,069	165	
Hofstra University Zucker School of Medicine 	Hempstead	NY	Hempstead, NY	MD	Private	3.78	516	5,086	99	
Howard University College of Medicine 	Washington	D.C.	Washington, D.C.	MD	Private	3.42	502	5,533	112	
Icahn School of Medicine at Mount Sinai 	New York	NY	New York, NY	MD	Private	3.84	519	5,995	140	
