| Name                                                                    | URL                                                                                             | Freely Accessible                                                   | Downloadable?                                     | Scrappable?                                                                         | Format                 | Schema Desc./ Documentation                                            | Weight Given | Additional Notes                                                                                                    |
|-------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------|---------------------------------------------------------------------|---------------------------------------------------|-------------------------------------------------------------------------------------|------------------------|------------------------------------------------------------------------|--------------|---------------------------------------------------------------------------------------------------------------------|
| Research Portfolio Online Reporting Tools (RePORT) via ExPORTER         | https://exporter.nih.gov/                                                                       | Yes                                                                 | Yes, by Week (last 10 months) & year              | Does not specifically disallow such a thing as I see no "you shall not ..."         | CSV & XML              |                                                                        |              |                                                                                                                     |
| NSF Award Search and Download NSF                                       | https://www.nsf.gov/awardsearch/download.jsp                                                    | Yes                                                                 | Yes, by year                                      | ""                                                                                  | XML                    | Yes, https://www.nsf.gov/awardsearch/resources/Award.xsd               |              |                                                                                                                     |
| PubMed Database NIH, National Library of Medicine                       | https://ncbiinsights.ncbi.nlm.nih.gov/2017/06/22/pubmed-available-for-download-without-license/ | Yes                                                                 | Yes, ftp://ftp.ncbi.nlm.nih.gov/pubmed/baseline   | Yes, see given URL page                                                             | XML                    | Yes, https://www.nlm.nih.gov/bsd/licensee/elements_alphabetical.html   |              |                                                                                                                     |
| UMETRICS Institute for Research on Innovation and Science               | https://iris.isr.umich.edu/research-data/                                                       | Yes, but must get access for some                                   | Yes, yearly                                       | Does not specifically disallow such a thing as I see no "you shall not ..."         | PDF, possibly others   | Yes, yearly, https://iris.isr.umich.edu/research-data/2020datarelease/ |              |                                                                                                                     |
| STAR METRICS                                                            | https://federalreporter.nih.gov/FileDownload                                                    | Yes                                                                 | Yes, Yearly                                       | Automated querying is disallowed and might get us IP banned                         | CSV, XML               |                                                                        |              | Something's off about this one. It feels like it's RePORT via Exporter                                              |
| Clinicaltrials.gov NIH National Library of Medicine                     | https://clinicaltrials.gov/AllPublicXML.zip                                                     | Yes                                                                 | Yes, by study                                     | Depends on file, https://www.nlm.nih.gov/web_policies.html Copyright section        | PDF, PT, TSV, CSV, XML | Yes, https://clinicaltrials.gov/ct2/html/images/info/public.xsd        |              |                                                                                                                     |
| Dimensions Digital Science                                              | https://www.dimensions.ai/                                                                      | View Individual studies: free<br>Having library of references: paid | Only the studies                                  | Likely not, but the language is confusing: https://www.dimensions.ai/website-terms/ | Unknown                | Unknown                                                                |              | I could not find a way to download loads of studies at one time<br>Perhaps it's in the paid version? I don't know.  |
| D&B Hoovers database of in-depth Company Profiles Dun & Bradstreet, Inc |                                                                                                 |                                                                     |                                                   |                                                                                     |                        |                                                                        |              | What does a company analytics database have to do with medical studies?                                             |
| STATT: Statistics Access for Technology Transfer Database AUTM          | https://autm.net/surveys-and-tools/databases/statt                                              | No, paid version required                                           | Yes, https://autm.net/surveys-and-tools/databases | Possibly -- Model IAA agreement might allow it. Need to see if AU is part of it     | Unknown                | Unknown                                                                |              |                                                                                                                     |
| Nobel Prize Developer Zone                                              |https://www.nobelprize.org/                                                                      | Yes                                                                 | Yes, by Prize or by Laurate                       | Yes.                                                                                | JSON $ CSV             | None provided                                                          |              |                                                                                                                     |
